,name,version
27,absl-py,2.3.1
262,aeppl,0.0.31
49,aesara,2.7.3
47,affine,2.4.0
339,aiohttp,3.9.5
85,aiosignal,1.4.0
346,analytics-python,1.4.post1
242,annotated-types,0.7.0
335,anyio,4.10.0
225,anytree,2.8.0
231,argon2-cffi,25.1.0
45,argon2-cffi-bindings,25.1.0
192,arrow,1.3.0
165,arviz,0.21.0
161,asn1crypto,1.5.1
72,asttokens,3.0.0
253,async-lru,2.0.5
114,attrs,25.3.0
256,audioread,3.0.1
360,babel,2.17.0
171,backoff,1.10.0
157,basemap,1.3.9
2,basemap-data,1.3.2
370,bcrypt,4.3.0
349,beautifulsoup4,4.13.4
271,biopython,1.84
97,bleach,6.2.0
169,blinker,1.9.0
322,blis,0.7.11
274,blosc2,2.0.0
290,bokeh,2.4.0
230,branca,0.8.1
363,Brotli,1.1.0
319,bytecode,0.16.2
299,caas_jupyter_tools,0.0.1
166,cachetools,6.1.0
41,cairocffi,1.7.1
70,CairoSVG,2.5.2
13,camelot-py,0.10.1
364,catalogue,2.0.10
375,catboost,1.2.8
110,cattrs,24.1.3
385,certifi,2021.1.10.2
82,cffi,1.17.1
367,chardet,3.0.4
25,charset-normalizer,2.1.1
37,click,8.2.1
368,click-plugins,1.1.1.2
234,cligj,0.7.2
31,cloudpickle,3.1.1
107,cmudict,1.1.1
129,comm,0.2.3
93,confection,0.1.5
148,cons,0.4.7
106,contourpy,1.3.2
194,countryinfo,0.1.2
52,coverage,7.5.4
358,cryptography,3.4.8
87,cssselect2,0.8.0
216,cycler,0.12.1
138,cymem,2.0.11
26,Cython,0.29.36
213,databricks-sql-connector,0.9.1
220,datadog,0.49.1
208,ddsketch,3.0.1
344,ddtrace,2.8.7
188,debugpy,1.8.16
174,decorator,4.4.2
347,defusedxml,0.7.1
248,dlib,19.24.2
65,dnspython,2.7.0
307,docx2txt,0.8
327,einops,0.3.2
263,email_validator,2.2.0
104,envier,0.6.1
283,et_xmlfile,2.0.0
251,etuples,0.3.10
152,exchange-calendars,3.4
329,executing,2.2.0
189,Faker,8.13.2
254,fastapi,0.111.0
291,fastapi-cli,0.0.8
163,fastjsonschema,2.21.2
158,fastprogress,1.0.3
312,ffmpeg-python,0.2.0
83,ffmpy,0.6.1
386,filelock,3.18.0
197,Fiona,1.9.2
120,Flask,3.1.2
8,Flask-CacheBuster,1.0.0
328,flask-cors,6.0.1
320,Flask-Login,0.6.3
264,folium,0.12.1
195,fonttools,4.59.1
212,fpdf2,2.8.3
108,fqdn,1.5.1
18,frozenlist,1.7.0
392,fsspec,2025.7.0
139,future,1.0.0
293,fuzzywuzzy,0.18.0
79,gensim,4.3.1
303,geographiclib,1.52
100,geopandas,0.10.2
38,geopy,2.2.0
338,gradio,2.2.15
235,graphviz,0.17
207,gTTS,2.2.3
96,h11,0.16.0
196,h2,4.2.0
146,h5netcdf,1.6.4
321,h5py,3.8.0
311,hpack,4.1.0
172,html5lib,1.1
354,httpcore,1.0.9
35,httptools,0.6.4
147,httpx,0.28.1
28,hypercorn,0.14.3
244,hyperframe,6.1.0
357,idna,3.10
187,imageio,2.37.0
154,imageio-ffmpeg,0.6.0
366,imbalanced-learn,0.12.4
202,imblearn,0.0
356,imgkit,1.2.2
136,importlib_metadata,8.7.0
306,importlib_resources,6.5.2
54,iniconfig,2.1.0
229,invoke,2.2.0
183,ipykernel,6.30.1
228,ipython,9.4.0
294,ipython-genutils,0.2.0
71,ipython_pygments_lexers,1.1.1
353,isodate,0.7.2
184,isoduration,20.11.0
210,itsdangerous,2.2.0
142,jax,0.2.28
333,jedi,0.19.2
384,Jinja2,3.1.6
48,joblib,1.5.1
310,json5,0.12.1
36,jsonpickle,4.1.1
266,jsonpointer,3.0.0
268,jsonschema,4.25.1
15,jsonschema-specifications,2025.4.1
7,jupyter-events,0.12.0
331,jupyter-lsp,2.2.6
88,jupyter_client,8.6.1
227,jupyter_core,5.5.1
42,jupyter_server,2.14.0
113,jupyter_server_terminals,0.5.3
204,jupyterlab,4.1.8
336,jupyterlab_pygments,0.3.0
318,jupyterlab_server,2.27.1
323,keras,2.6.0
369,kerykeion,2.1.16
330,kiwisolver,1.4.9
250,korean-lunar-calendar,0.3.1
76,langcodes,3.5.0
365,language_data,1.3.0
200,lark,1.2.2
226,lazy_loader,0.4
101,librosa,0.8.1
317,lightgbm,4.5.0
223,llvmlite,0.44.0
243,logical-unification,0.4.3
218,loguru,0.5.3
111,lxml,6.0.1
325,marisa-trie,1.3.0
128,markdown-it-py,4.0.0
155,markdown2,2.5.4
279,markdownify,0.9.3
390,MarkupSafe,3.0.2
239,matplotlib,3.6.3
5,matplotlib-inline,0.1.7
255,matplotlib-venn,0.11.6
156,mdurl,0.1.2
190,miniKanren,1.0.5
43,mistune,3.1.3
298,mizani,0.10.0
167,mne,0.23.4
350,monotonic,1.6
359,moviepy,1.0.3
383,mpmath,1.3.0
1,msgpack,1.1.1
46,mtcnn,0.1.1
59,multidict,6.6.4
91,multipledispatch,1.0.0
80,munch,4.0.0
324,murmurhash,1.0.13
3,mutagen,1.45.1
277,nashpy,0.0.35
40,nbclassic,0.4.5
105,nbclient,0.10.2
33,nbconvert,7.16.6
170,nbformat,5.10.4
6,nest-asyncio,1.6.0
389,networkx,3.5
236,networkx,2.8.8
84,nltk,3.9.1
30,notebook,6.5.1
55,notebook_shim,0.2.4
280,numba,0.61.2
314,numexpr,2.11.0
240,numpy,1.24.0
221,numpy-financial,1.0.0
74,odfpy,1.4.1
361,opencv-python,4.5.5.62
259,openpyxl,3.0.10
193,opentelemetry-api,1.36.0
292,opt_einsum,3.4.0
247,orjson,3.11.2
109,oscrypto,1.3.0
272,overrides,7.7.0
257,packaging,25.0
151,pandas,1.5.3
343,pandocfilters,1.5.1
86,paramiko,4.0.0
301,parso,0.8.4
153,pathlib_abc,0.1.1
61,pathy,0.11.0
186,patsy,1.0.1
308,pdf2image,1.16.3
176,pdfkit,0.6.1
379,pdfminer.six,20220319
68,pdfplumber,0.6.2
315,pdfrw,0.4
20,pexpect,4.9.0
284,Pillow,9.1.0
388,pip,24.0
334,platformdirs,4.3.8
275,plotly,5.3.0
144,plotnine,0.10.1
211,pluggy,1.6.0
219,pooch,1.8.2
119,preshed,3.0.10
267,priority,2.0.0
355,proglog,0.1.12
117,prometheus_client,0.22.1
177,prompt_toolkit,3.0.51
133,pronouncing,0.2.0
362,propcache,0.3.2
11,protobuf,6.32.0
99,psutil,7.0.0
123,ptyprocess,0.7.0
340,pure_eval,0.2.3
63,py-cpuinfo,9.0.0
23,pycountry,20.7.3
304,pycparser,2.22
241,pycryptodome,3.23.0
73,pycryptodomex,3.23.0
199,pydantic,2.9.2
260,pydantic-extra-types,2.10.5
121,pydantic-settings,2.10.1
56,pydantic_core,2.23.4
89,pydot,1.4.2
69,pydub,0.25.1
62,pydyf,0.11.0
134,Pygments,2.19.2
95,pygraphviz,1.7
205,PyJWT,2.10.1
141,pylog,1.1
164,pyluach,2.2.0
198,pymc,4.0.1
168,PyMuPDF,1.21.1
39,PyNaCl,1.5.0
77,pyOpenSSL,21.0.0
373,pypandoc,1.6.3
181,pyparsing,3.2.3
