PresetName,Type,Root,Intervals,BAL,BALPattern,Labels
C major root,major,C,0|4|7,96,••••,triad;root
C major 1st,major,C,4|7|12,84,•••.,triad;1st_inversion
C major 2nd (106),major,C,7|12|16,106,•*••,triad;2nd_inversion;preferred
C major 2nd (74),major,C,7|12|16,74,••..,triad;2nd_inversion;alt
C minor root,minor,C,0|3|7,96,••••,triad;root
C minor 1st,minor,C,3|7|12,84,•••.,triad;1st_inversion
C minor 2nd (106),minor,C,7|12|15,106,•*••,triad;2nd_inversion;preferred
C minor 2nd (74),minor,C,7|12|15,74,••..,triad;2nd_inversion;alt
C diminished root,diminished,C,0|3|6,96,••••,triad;root
C diminished 1st,diminished,C,3|6|12,84,•••.,triad;1st_inversion
C diminished 2nd (106),diminished,C,6|12|15,106,•*••,triad;2nd_inversion;preferred
C diminished 2nd (74),diminished,C,6|12|15,74,••..,triad;2nd_inversion;alt
C augmented root,augmented,C,0|4|8,96,••••,triad;root
C augmented 1st,augmented,C,4|8|12,84,•••.,triad;1st_inversion
C augmented 2nd (106),augmented,C,8|12|16,106,•*••,triad;2nd_inversion;preferred
C augmented 2nd (74),augmented,C,8|12|16,74,••..,triad;2nd_inversion;alt
C sus2 root,sus2,C,0|2|7,96,••••,triad;root
C sus2 1st,sus2,C,2|7|12,84,•••.,triad;1st_inversion
C sus2 2nd (106),sus2,C,7|12|14,106,•*••,triad;2nd_inversion;preferred
C sus2 2nd (74),sus2,C,7|12|14,74,••..,triad;2nd_inversion;alt
C sus4 root,sus4,C,0|5|7,96,••••,triad;root
C sus4 1st,sus4,C,5|7|12,84,•••.,triad;1st_inversion
C sus4 2nd (106),sus4,C,7|12|17,106,•*••,triad;2nd_inversion;preferred
C sus4 2nd (74),sus4,C,7|12|17,74,••..,triad;2nd_inversion;alt
C Maj7 root,Maj7,C,0|4|7|11,96,••••,tetrad;root
C 7 root,7,C,0|4|7|10,96,••••,tetrad;root
C m7 root,m7,C,0|3|7|10,96,••••,tetrad;root
C mMaj7 root,mMaj7,C,0|3|7|11,96,••••,tetrad;root
C dim7 root,dim7,C,0|3|6|9,96,••••,tetrad;root
C m7b5 root,m7b5,C,0|3|6|10,96,••••,tetrad;root
C M6 root,M6,C,0|4|7|9,96,••••,tetrad;root
C m6 root,m6,C,0|3|7|9,96,••••,tetrad;root
C augM7 root,augM7,C,0|4|8|11,96,••••,tetrad;root
C add9 root,add9,C,0|4|7|14,96,••••,tetrad;root
C madd9 root,madd9,C,0|3|7|14,96,••••,tetrad;root
C# major root,major,C#,0|4|7,96,••••,triad;root
C# major 1st,major,C#,4|7|12,84,•••.,triad;1st_inversion
C# major 2nd (106),major,C#,7|12|16,106,•*••,triad;2nd_inversion;preferred
C# major 2nd (74),major,C#,7|12|16,74,••..,triad;2nd_inversion;alt
C# minor root,minor,C#,0|3|7,96,••••,triad;root
C# minor 1st,minor,C#,3|7|12,84,•••.,triad;1st_inversion
C# minor 2nd (106),minor,C#,7|12|15,106,•*••,triad;2nd_inversion;preferred
C# minor 2nd (74),minor,C#,7|12|15,74,••..,triad;2nd_inversion;alt
C# diminished root,diminished,C#,0|3|6,96,••••,triad;root
C# diminished 1st,diminished,C#,3|6|12,84,•••.,triad;1st_inversion
C# diminished 2nd (106),diminished,C#,6|12|15,106,•*••,triad;2nd_inversion;preferred
C# diminished 2nd (74),diminished,C#,6|12|15,74,••..,triad;2nd_inversion;alt
C# augmented root,augmented,C#,0|4|8,96,••••,triad;root
C# augmented 1st,augmented,C#,4|8|12,84,•••.,triad;1st_inversion
C# augmented 2nd (106),augmented,C#,8|12|16,106,•*••,triad;2nd_inversion;preferred
